DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,class
0.093285928,0.113655028,0.55660473,0.305644693,0.285176338,0.34937794,0.512816185,0.062174142,0.374652122,0.156507493,0.091301194,0.53970348,0.665534826,0.534461077,0.292398077,0.148601487,0.411328558,0.476546799,0.745720877,0.43222033,0.101603947,0.401034351,0.401089529,0.171025523,0.255767876,0.464578793,0.64497925,0.43070925,0.54375505,0.314952774,0.461424743,0.32327452,0.078348397,0.477273922,0.176130202,0.549416784,0.51425667,0.247451398,0.430922498,0.349702978,0.387850567,0.348660954,0.382904156,0.13348416,0.238036835,0.47845938,0.468572297,0.184238616,0.209719387,0.183963157,0.065296346,0.343998377,0.660343086,0.296223999,0.25767512,0.312129691,0.058765403,0.263535824,0.565338049,0.132487518,0.240043406,0.182780259,0.273237851,0.392068903,0.163483679,0.165459832,0.422631844,0.172417405,0.411605673,0.102531879,0.296223999,0.267869756,0.253108658,0.180280924,0.309867149,0.292415934,0.665496753,5
0.092291704,0.107772522,0.628156559,0.278571447,0.256350484,0.32175786,0.554556224,0.053685277,0.400195548,0.129663021,0.087208462,0.510017156,0.601550399,0.517496715,0.267476712,0.143681547,0.391556511,0.4503514,0.714212457,0.43430092,0.09008779,0.352973592,0.409104141,0.158285609,0.24023943,0.454174282,0.578263289,0.50002488,0.519479104,0.268970787,0.333658029,0.295728108,0.070542099,0.436852551,0.151168765,0.521436827,0.491037456,0.210478979,0.407141118,0.326363233,0.374783743,0.303480913,0.371173853,0.122375785,0.247744431,0.523222216,0.504054528,0.197533995,0.226909714,0.218124,0.076001056,0.322598479,0.602985026,0.340577813,0.325771936,0.378983383,0.062688544,0.230059929,0.568927501,0.147573956,0.282384054,0.178869921,0.259587862,0.423163416,0.146873042,0.140298051,0.412587562,0.192420851,0.402697261,0.102531879,0.340577813,0.232873872,0.366830374,0.175711396,0.338322475,0.300342931,0.736398335,5
0.092595134,0.100429669,0.516672722,0.25357144,0.238999056,0.352368788,0.493152194,0.026909696,0.300958558,0.162610193,0.094421706,0.498570639,0.527884106,0.496532887,0.245469135,0.120314746,0.381901934,0.469155446,0.658041828,0.385102843,0.121172843,0.3391085,0.415943613,0.161322147,0.195221615,0.42928316,0.667406772,0.405720909,0.515624375,0.290042096,0.329272405,0.241323459,0.063570031,0.473660033,0.206677168,0.546603574,0.489857541,0.267145562,0.426600719,0.31504706,0.414641736,0.472460733,0.333629035,0.044300604,0.183692808,0.440028712,0.46896896,0.154876095,0.165630348,0.206363987,0.060643546,0.353491141,0.609841522,0.332238229,0.2169942,0.312200639,0.041794763,0.317970381,0.510388403,0.149452235,0.183976348,0.297026314,0.230091661,0.331705752,0.380734653,0.215059094,0.370550666,0.234392583,0.578032223,0.102531879,0.332238229,0.242619405,0.362713019,0.22165807,0.514751038,0.359806955,0.544578653,5
0.099780696,0.102046883,0.512514945,0.25880731,0.238954373,0.341653608,0.491958409,0.026961144,0.346487645,0.139088802,0.091906749,0.526044147,0.597655475,0.513606454,0.281042024,0.12169547,0.36972068,0.448454798,0.701100844,0.411579071,0.100258178,0.359544794,0.49017044,0.137220255,0.202817975,0.424485399,0.567573925,0.408356372,0.473758744,0.288141661,0.331680961,0.249723801,0.074194812,0.474942439,0.202450623,0.545202632,0.484451966,0.233560359,0.394892361,0.322775321,0.383120549,0.34262997,0.332353415,0.082086445,0.199909678,0.462600235,0.493606762,0.161303732,0.180170412,0.199145402,0.059622176,0.348435035,0.604519038,0.299341585,0.388065267,0.339582913,0.041557401,0.296286006,0.607601519,0.136830541,0.216945867,0.18860197,0.251310978,0.350726784,0.192557373,0.200787553,0.407201788,0.169245957,0.556134065,0.102531879,0.299341585,0.23142119,0.326445549,0.247570887,0.431284249,0.395679463,0.591968032,5
0.096617072,0.092034846,0.600682789,0.218530351,0.229737521,0.33327185,0.479863244,0.016379036,0.328846007,0.122088752,0.081296089,0.485057465,0.475307584,0.555122436,0.215494574,0.11425163,0.35359563,0.436302637,0.665654537,0.398786629,0.104509533,0.392346831,0.341804353,0.126575889,0.185264043,0.419325013,0.540771178,0.354756928,0.446717814,0.257681614,0.304598197,0.225919656,0.066341212,0.391512549,0.185312268,0.511773629,0.478094929,0.204595812,0.370275573,0.278629745,0.426658478,0.271072644,0.327929474,0.024075637,0.211284774,0.398446647,0.488892022,0.164495798,0.201564937,0.186232956,0.064089597,0.333916713,0.59844561,0.348506778,0.277978499,0.323768432,0.045054409,0.253847483,0.57307739,0.138629809,0.248501775,0.1770899,0.229719884,0.334170849,0.155185161,0.167236275,0.364737267,0.187581993,0.493772543,0.102531879,0.348506778,0.235923493,0.375149302,0.202240466,0.479707658,0.392242481,0.665722732,5
0.252121935,0.261864535,0.687369631,0.578918969,0.641960113,0.32746614,0.479384323,0.152529798,0.422120678,0.343132988,0.27282841,0.687162472,0.68020459,0.604731705,0.50216633,0.450456952,0.658956364,0.458457659,0.524704636,0.708607642,0.197896091,0.463916985,0.301015118,0.430992102,0.73299908,0.564644721,0.662222551,0.52365483,0.736517244,0.309300139,0.468472411,0.583466691,0.102696762,0.664740949,0.206821252,0.736498465,0.842693899,0.662779124,0.592547323,0.758181045,0.640799672,0.637593671,0.094148286,0.419130837,0.422517415,0.596225914,0.123584401,0.163826969,0.236727726,0.406814721,0.045045986,0.42742982,0.710346543,0.780395912,0.269122244,0.361382888,0.170400913,0.398886522,0.556228982,0.129191104,0.117333787,0.110227053,0.1582377,0.285459835,0.234339253,0.372624816,0.155591312,0.111674896,0.259259247,0.541595316,0.780395912,0.213506117,0.362335184,0.124764406,0.234173242,0.199310148,0.460530028,5
0.23877844,0.238278778,0.618907136,0.501092778,0.57198315,0.285687437,0.402858695,0.126601831,0.319884536,0.285250163,0.271183675,0.634103804,0.547724311,0.48204832,0.434255315,0.394390654,0.599496746,0.383923996,0.489270409,0.667491121,0.206799126,0.386943466,0.240062757,0.369092933,0.629698057,0.534619086,0.5872086,0.417575083,0.675832478,0.259177506,0.38792203,0.505987006,0.087561339,0.587076426,0.18930389,0.679888424,0.668572269,0.532069168,0.525326754,0.649601129,0.511985135,0.505701705,0.085506,0.351712845,0.411255328,0.608090573,0.131007788,0.153369456,0.361818263,0.309095399,0.038465916,0.407726632,0.707883452,0.48208699,0.313439138,0.303740454,0.17363698,0.393951282,0.557466469,0.122707638,0.147952724,0.117274698,0.163778299,0.291739408,0.176516006,0.318364408,0.170369107,0.099844349,0.226049296,0.347976698,0.48208699,0.213506117,0.390700471,0.0932808,0.224647613,0.180763021,0.503275066,5
0.235890788,0.236362729,0.615031837,0.468475925,0.564989308,0.298618003,0.399233772,0.124717906,0.30288763,0.265622347,0.268170813,0.622135717,0.533271226,0.464689068,0.434152309,0.407673934,0.600886648,0.382289672,0.526764774,0.669115698,0.193130083,0.400662102,0.252392423,0.367737002,0.627825092,0.527876601,0.577329605,0.476853088,0.673546542,0.239310177,0.397794542,0.50304542,0.082150959,0.609816397,0.171328504,0.693414531,0.59889063,0.486863096,0.504979429,0.609838938,0.481226699,0.467944863,0.06218946,0.329628965,0.405447259,0.631371173,0.135357254,0.156932646,0.391035839,0.322019077,0.032578506,0.364582944,0.67753869,0.489455369,0.365429507,0.327000787,0.176871673,0.372132655,0.541131438,0.122856306,0.172189329,0.127408122,0.170109774,0.350368871,0.224486843,0.256260046,0.217559754,0.090798007,0.221059572,0.288802992,0.489455369,0.213506117,0.391012612,0.078479926,0.204556676,0.181843422,0.530030559,5
0.224387819,0.222659681,0.63148971,0.507823716,0.480007326,0.34645993,0.483967811,0.149515715,0.404071384,0.305897104,0.242416315,0.693724728,0.656427069,0.518488326,0.435049213,0.397030414,0.581874098,0.435906219,0.559660945,0.64397122,0.189396051,0.511158278,0.348395348,0.343454328,0.585930796,0.51406751,0.670590793,0.507401551,0.657447517,0.323639085,0.456412996,0.468850292,0.109458274,0.672290309,0.25040954,0.741044502,0.813309711,0.584142791,0.565765822,0.700777181,0.6183774,0.621488227,0.102014438,0.439916131,0.408943086,0.587071693,0.12864282,0.17302807,0.220725507,0.327693782,0.046165236,0.432843933,0.685381233,0.483672752,0.344044834,0.318740174,0.169274812,0.349347669,0.523741843,0.099349351,0.131170134,0.093987598,0.170541896,0.25728042,0.311683862,0.296429848,0.162378208,0.196554628,0.35816453,0.562536729,0.483672752,0.213506117,0.39907504,0.19246402,0.292431544,0.301015563,0.378121372,5
0.188206633,0.18385825,0.516516928,0.343393437,0.381970841,0.278575286,0.383599588,0.103216209,0.253835021,0.235681398,0.201730047,0.576029023,0.468550545,0.432042129,0.295589338,0.293715955,0.482209508,0.30688125,0.526223909,0.543971556,0.172799655,0.337378578,0.21633641,0.248408861,0.445850389,0.442416918,0.537886991,0.343096071,0.542163851,0.218329871,0.324247796,0.342639314,0.066401563,0.505692747,0.173012115,0.624280713,0.590853086,0.386050156,0.457024746,0.542800516,0.429747682,0.407212262,0.0738864,0.256691971,0.385768181,0.612714709,0.136392563,0.156054515,0.321811337,0.280243261,0.033856163,0.396318885,0.652926528,0.364222906,0.244388921,0.379537394,0.162629446,0.440794515,0.568260964,0.11677427,0.132776977,0.089760866,0.143627027,0.269731259,0.274513117,0.235671084,0.172665404,0.159549819,0.417293238,0.459600285,0.364222906,0.213506117,0.332163329,0.117992214,0.264378682,0.218477853,0.44482738,5
0.199570885,0.199937738,0.535420926,0.39356485,0.420108873,0.301988832,0.42508011,0.127947304,0.319199119,0.23543454,0.211332025,0.616994444,0.516161971,0.478711456,0.364755402,0.34173214,0.521016519,0.335093218,0.553665342,0.58384905,0.181265283,0.44400041,0.290768728,0.271496936,0.490770463,0.473496637,0.550841899,0.40372115,0.606939206,0.250753536,0.368727091,0.383864951,0.088755345,0.592511706,0.202709369,0.69388818,0.606980458,0.400963345,0.492373377,0.554995324,0.44394609,0.436835741,0.082755331,0.245436923,0.384513852,0.562177348,0.144343031,0.125710301,0.335256647,0.290646882,0.026603321,0.371914883,0.650220308,0.474655787,0.306870988,0.29471473,0.195844804,0.35523479,0.516799761,0.109144986,0.169779249,0.086991316,0.14374465,0.266880138,0.202082996,0.258673745,0.199503789,0.117113745,0.28489688,0.345128358,0.474655787,0.213506117,0.360965876,0.093405018,0.257939966,0.186317379,0.449330609,5
0.235036769,0.192687226,0.713571517,0.45605398,0.402029078,0.410379214,0.525551066,0.122067044,0.358273474,0.306522358,0.215710701,0.659753193,0.697258555,0.658871435,0.441220341,0.363519285,0.559038293,0.442473605,0.585764347,0.633668231,0.175011061,0.495700797,0.404924094,0.276893092,0.517240905,0.480274205,0.668944695,0.446233005,0.605527677,0.407310832,0.476451612,0.370850438,0.112615447,0.747848338,0.294326751,0.775635945,0.884600614,0.587963919,0.597131223,0.718871165,0.71959879,0.648620636,0.150262863,0.278412596,0.344341946,0.597902406,0.127834035,0.160471408,0.163532606,0.286680239,0.04302591,0.423319364,0.717615169,0.411429457,0.321744435,0.272533996,0.140139077,0.346278531,0.405388562,0.075999227,0.137345515,0.127140218,0.151995243,0.213344542,0.334484159,0.372838854,0.162027326,0.190116255,0.410792723,0.672591636,0.411429457,0.213506117,0.296869054,0.170805831,0.429355429,0.442529325,0.38344127,5
0.191284039,0.188738088,0.614150745,0.402808668,0.369439117,0.332603003,0.486364811,0.114619064,0.330265447,0.262677145,0.205205874,0.666801237,0.630044882,0.554279936,0.385282789,0.330073113,0.527877712,0.380361481,0.579628404,0.607484294,0.16545849,0.441063204,0.342491682,0.26657469,0.488664906,0.477576801,0.636712087,0.436424774,0.585999957,0.376785114,0.441966811,0.356901845,0.099245037,0.693067027,0.280896631,0.748569822,0.742094912,0.46460799,0.548989411,0.670248518,0.659851916,0.653504996,0.124326056,0.211285327,0.317710388,0.587972197,0.13098992,0.159927905,0.278539411,0.228629811,0.031297452,0.409255108,0.648046806,0.49290546,0.43837321,0.315878908,0.124018333,0.453487989,0.473842891,0.081508655,0.107513366,0.125103542,0.120715355,0.242771437,0.315629873,0.320970392,0.181897893,0.180121461,0.408314277,0.540146841,0.49290546,0.213506117,0.424964591,0.168762531,0.504172773,0.305271789,0.410472584,5
0.17567814,0.168214808,0.506067215,0.340734192,0.338494895,0.321956307,0.433686857,0.097528295,0.285689804,0.228525027,0.196942699,0.60103497,0.482274093,0.448899593,0.32421772,0.295381095,0.484697104,0.312606556,0.555670004,0.555549411,0.125607367,0.377528173,0.255133749,0.226780462,0.411268882,0.440465475,0.528182207,0.363599843,0.525650006,0.30259373,0.359593892,0.304586613,0.085021511,0.639914964,0.220542777,0.699583929,0.628472932,0.379513362,0.486505406,0.528522529,0.467215905,0.435898295,0.097744633,0.173626862,0.279670825,0.567751311,0.121795432,0.155819436,0.262597615,0.225495392,0.023808695,0.368543811,0.559933246,0.397299289,0.19430785,0.283631614,0.113656121,0.340091989,0.479598986,0.099658095,0.136082032,0.1005733,0.11936493,0.22527485,0.264046265,0.19962732,0.169949613,0.128541247,0.346688157,0.441147414,0.397299289,0.213506117,0.370579781,0.136882449,0.330436219,0.261954468,0.427425648,5
0.171082545,0.134050211,0.538436884,0.357274514,0.270029992,0.366811043,0.515945572,0.071865581,0.337988592,0.246703848,0.1646768,0.639302176,0.584737231,0.529387803,0.355138963,0.294630298,0.463638398,0.331248245,0.538181783,0.533583728,0.163674278,0.435465939,0.385158332,0.197860039,0.359735226,0.405609356,0.644254732,0.415124724,0.509507255,0.364935325,0.355817583,0.248046499,0.110350422,0.783810622,0.354977206,0.756747865,0.897584853,0.564288694,0.544654353,0.685861548,0.742125992,0.638733249,0.188186459,0.238432722,0.331613606,0.592469762,0.13807401,0.138163112,0.175280725,0.242950251,0.0492062,0.46255417,0.573681709,0.404500454,0.301829237,0.277657276,0.134284302,0.1069738,0.372620583,0.065279263,0.192809563,0.16017023,0.111135306,0.220595443,0.414341232,0.352146719,0.159179278,0.311447193,0.543733303,0.654162873,0.404500454,0.213506117,0.342706208,0.227760794,0.482362567,0.420795261,0.3181478,5
0.165786427,0.193656345,0.704918668,0.474411358,0.351691816,0.472414934,0.629046483,0.120723182,0.461195761,0.270250783,0.201877253,0.794605683,0.796096771,0.722086316,0.47840499,0.369198292,0.552866002,0.386571126,0.677594514,0.60649509,0.178116917,0.57119398,0.619605445,0.257530894,0.427448179,0.500625106,0.734119483,0.594577205,0.617589964,0.563287047,0.567559659,0.353250888,0.139434261,0.947117037,0.470266897,0.906303185,0.925784031,0.683629605,0.698196418,0.845974234,0.932460948,0.741465177,0.261422425,0.161703972,0.301388721,0.610363048,0.118666138,0.125360565,0.232530963,0.18219859,0.030464426,0.386773624,0.55453039,0.335827717,0.233485196,0.295927238,0.117946932,0.370256178,0.370177417,0.07144123,0.21443516,0.201489083,0.102831361,0.208290191,0.410274562,0.277098311,0.127027815,0.105027087,0.692420007,0.494202165,0.335827717,0.213506117,0.294681011,0.220356253,0.436749517,0.336267183,0.361494531,5
0.1584959,0.14325135,0.495046502,0.297750529,0.243706664,0.396005273,0.495741073,0.074665542,0.33725794,0.19151644,0.171127565,0.601509354,0.482137467,0.587019254,0.302296707,0.271161437,0.433670258,0.260274963,0.55683456,0.487762974,0.151808924,0.408375411,0.390234339,0.179277599,0.312237,0.415580406,0.579819954,0.37362085,0.489908356,0.385532035,0.401866458,0.223963599,0.102553065,0.738166975,0.327572784,0.717718317,0.679641135,0.449803028,0.518050692,0.595733794,0.648534605,0.496680899,0.169502776,0.174906347,0.297096344,0.607005431,0.129191407,0.109971983,0.265309301,0.197500751,0.023897379,0.376240402,0.485463366,0.468060894,0.297227114,0.310801763,0.128490115,0.403226404,0.424758417,0.06861938,0.201586798,0.157484223,0.110875094,0.226575856,0.360810312,0.241163957,0.176893492,0.128446513,0.472110085,0.486486529,0.468060894,0.213506117,0.260962143,0.171307643,0.640654656,0.45502136,0.422453988,5
